symbol;available_exchanges;currency_base;currency_quote
BMC/BTC;"[""HitBTC""]";Blackmoon;Bitcoin
BMC/ETH;"[""HitBTC""]";Blackmoon;Ethereum
BMC/USD;"[""HitBTC""]";Blackmoon;US Dollar
BMT/BTC;"[""YoBit""]";BMChain;Bitcoin
BMT/ETH;"[""YoBit""]";BMChain;Ethereum
BMT/RUB;"[""YoBit""]";BMChain;Russian Ruble
BMT/USD;"[""Synthetic"",""YoBit""]";BMChain;US Dollar
BNB/BRL;"[""Binance""]";Binance Coin;Brazil Real
BNB/BTC;"[""Binance"",""Bit-Z"",""Coinsbit"",""p2pb2b""]";Binance Coin;Bitcoin
BNB/ETH;"[""Binance"",""Coinsbit"",""p2pb2b""]";Binance Coin;Ethereum
BNB/EUR;"[""Binance""]";Binance Coin;Euro
BNB/TRY;"[""Binance""]";Binance Coin;Turkish Lira
BNB/USD;"[""Binance"",""Bit-Z"",""LBank"",""p2pb2b""]";Binance Coin;US Dollar
BNK/BTC;"[""HitBTC""]";Bankera;Bitcoin
BNK/ETH;"[""HitBTC""]";Bankera;Ethereum
BNK/USD;"[""HitBTC""]";Bankera;US Dollar
BNS/BTC;"[""Kucoin""]";BNS Token;Bitcoin
BNS/USD;"[""Kucoin""]";BNS Token;US Dollar
BNT/BTC;"[""Binance"",""Coinbene"",""HitBTC"",""OKEx""]";Bancor;Bitcoin
BNT/ETH;"[""Binance"",""Bittrex"",""Kyber Network"",""LATOKEN""]";Bancor;Ethereum
BNT/USD;"[""HitBTC"",""OKEx""]";Bancor;US Dollar
BNTY/ETH;"[""Gate.io""]";Bounty0x;Ethereum
BNTY/USD;"[""Gate.io""]";Bounty0x;US Dollar
BOAT/USD;"[""Synthetic""]";BOAT;US Dollar
BOK/BTC;"[""Coineal""]";Blockium;Bitcoin
BOK/USD;"[""Synthetic""]";Blockium;US Dollar
BOLI/BTC;"[""YoBit""]";Bolivarcoin;Bitcoin
BOX/BTC;"[""Huobi""]";ContentBox;Bitcoin
BOX/USD;"[""Synthetic""]";ContentBox;US Dollar
BPC/BTC;"[""Livecoin""]";Bitpark Coin;Bitcoin
BPCN/USD;"[""Synthetic""]";Big Profit Coin;US Dollar
BPC/USD;"[""Synthetic""]";Bitpark Coin;US Dollar
BPL/USD;"[""Synthetic""]";Blockpool;US Dollar
BQ/USD;"[""Synthetic""]";bitqy;US Dollar
BQX/BTC;"[""Binance""]";Voyager Token;Bitcoin
BQX/ETH;"[""HitBTC""]";Ethos;Ethereum
BQX/ETH;"[""Binance""]";Voyager Token;Ethereum
BQX/USD;"[""Synthetic""]";Ethos;US Dollar
BRAIN/BTC;"[""YoBit""]";Braincoin;Bitcoin
BRAIN/USD;"[""Synthetic""]";Braincoin;US Dollar
BRAT/USD;"[""Synthetic""]";BROTHER;US Dollar
BRD/BTC;"[""Binance""]";Bread;Bitcoin
BRD/ETH;"[""Binance""]";Bread;Ethereum
BRD/USD;"[""Synthetic""]";Bread;US Dollar
BRIA/USD;"[""BTC-Alpha""]";BriaCoin;US Dollar
BRIT/USD;"[""Synthetic""]";BritCoin;US Dollar
BRK/USD;"[""Synthetic""]";Breakout;US Dollar
BRO/BTC;"[""Crex24""]";Bitradio;Bitcoin
BRO/USD;"[""Synthetic""]";Bitradio;US Dollar
BRX/USD;"[""Synthetic""]";Breakout Stake;US Dollar
BRZE/BTC;"[""CoinTiger"",""ProBit Exchange""]";Breezecoin;Bitcoin
BRZE/USD;"[""Synthetic""]";Breezecoin;US Dollar
BSC/BTC;"[""YoBit""]";BowsCoin;Bitcoin
BSC/USD;"[""Synthetic""]";BowsCoin;US Dollar
BSN/BTC;"[""Crex24""]";Bastonet;Bitcoin
BSN/USD;"[""Synthetic""]";Bastonet;US Dollar
BSR/USD;"[""Synthetic""]";BitSoar;US Dollar
BSTAR/USD;"[""Synthetic""]";Blackstar;US Dollar
BST/BTC;"[""CoinAll""]";BlockStamp;Bitcoin
BST/USD;"[""Synthetic""]";BlockStamp;US Dollar
BSTY/BTC;"[""YoBit""]";GlobalBoost-Y;Bitcoin
BSTY/USD;"[""Synthetic""]";GlobalBoost-Y;US Dollar
BSV/BCH;"[""CoinEx"",""SouthXchange""]";Bitcoin SV;Bitcoin Cash
BSV/BTC;"[""Huobi"",""OKEx""]";Bitcoin SV;Bitcoin
BSV/ETH;"[""Bittrex""]";Bitcoin SV;Ethereum
BSV/EUR;"[""Synthetic""]";Bitcoin SV;Euro
BSV/KRW;"[""Bithumb"",""Korbit"",""Upbit""]";Bitcoin SV;Korean Won
BSV/THB;"[""Bitkub""]";Bitcoin SV;Thai Baht
BSV/USD;"[""Huobi"",""OKEx""]";Bitcoin SV;US Dollar
BSV/ZAR;"[""AltCoinTrader""]";Bitcoin SV;South African Rand
BTA/BTC;"[""YoBit""]";Bata;Bitcoin
BTA/USD;"[""Synthetic""]";Bata;US Dollar
BTB/BTC;"[""Livecoin""]";BitBar;Bitcoin
BTBc/USD;"[""Synthetic""]";Bitbase;US Dollar
BTB/USD;"[""Synthetic""]";BitBar;US Dollar
?/BTC;"[""Cryptopia""]";Money;Bitcoin
BTC2X/USD;"[""Synthetic""]";Bitcoin2x;US Dollar
BTC/ARS;"[""Bitex.la""]";Bitcoin;Argentinian Peso
BTC/AUD;"[""BTC Markets"",""Independent Reserve"",""LakeBTC"",""Luno""]";Bitcoin;Australian Dollar
BTCB/BTC;"[""HitBTC""]";Bitcoin BEP2;Ethereum
BTC/BITCNY;"[""CoinTiger""]";Bitcoin;bitCNY
BTC/BRL;"[""Binance"",""BitcoinTrade"",""Coinext"",""MercadoBitcoin"",""NovaDAX""]";Bitcoin;Brazil Real
BTCB/USD;"[""Synthetic""]";Bitcoin BEP2;US Dollar
BTC/CAD;"[""CoinField"",""Kraken"",""LakeBTC""]";Bitcoin;Canadian Dollar
BTC/CHF;"[""Bitci.com"",""Kraken"",""LakeBTC""]";Bitcoin;Swiss Franc
BTC/CNY;"[""TOPBTC""]";Bitcoin;Chinese Yuan
BTC/ETH;"[""Synthetic""]";Bitcoin;Ethereum
BTC/EUR;"[""Binance"",""BitStamp"",""Coinbase Pro"",""GDAX"",""Kraken""]";Bitcoin;Euro
BTC/GBP;"[""Coinbase Pro"",""GDAX"",""Kraken"",""LakeBTC""]";Bitcoin;British Pound
BTC/HKD;"[""QUOINE""]";Bitcoin;Hong Kong Dollar
BTC/IDR;"[""BTC Indonesia"",""Luno""]";Bitcoin;Indonesian Rupiah
BTC/ILS;"[""Synthetic""]";Bitcoin;Israeli Shekel
BTC/INR;"[""Synthetic""]";Bitcoin;Indian Rupee
BTC/JPY;"[""bitFlyer"",""BTCBOX"",""QUOINE"",""Zaif""]";Bitcoin;Japanese Yen
BTC/KRW;"[""Bithumb"",""Coinone"",""CPDAX"",""Upbit""]";Bitcoin;Korean Won
BTCM/BTC;"[""YoBit""]";BTCMoon;Bitcoin
BTCM/USD;"[""YoBit""]";BTCMoon;US Dollar
BTC/MXN;"[""Bitso"",""Synthetic""]";Bitcoin;Mexican Peso
BTC/MYR;"[""Luno"",""Synthetic""]";Bitcoin;Malaysian Ringgit
BTC/NGN;"[""Luno""]";Bitcoin;Nigerian Naira
BTC/NZD;"[""Independent Reserve""]";Bitcoin;New Zealand Dollar
BTC/PLN;"[""BitBay"",""Exmo""]";Bitcoin;Polish Zloty
BTCP/USD;"[""Synthetic""]";Bitcoin Private;US Dollar
BTCP/ZAR;"[""AltCoinTrader""]";Bitcoin Private;South African Rand
BTCR/BTC;"[""YoBit""]";Bitcurrency;Bitcoin
BTCRED/BTC;"[""YoBit""]";Bitcoin Red;Bitcoin
BTCRED/USD;"[""YoBit""]";Bitcoin Red;US Dollar
BTC/RUB;"[""CEX.IO"",""Exmo""]";Bitcoin;Russian Ruble
BTCR/USD;"[""Synthetic""]";Bitcurrency;US Dollar
BTC/SAR;"[""Synthetic""]";Bitcoin;Saudi Riyal
BTCS/BTC;"[""Trade Satoshi""]";Bitcoin Scrypt;Bitcoin
BTC/SEK;"[""Synthetic""]";Bitcoin;Swedish Krona
BTC/SGD;"[""LakeBTC"",""Luno"",""QUOINE""]";Bitcoin;Singapore Dollar
BTCS/USD;"[""Synthetic""]";Bitcoin Scrypt;US Dollar
BTC/THB;"[""Bitkub"",""Satang Pro""]";Bitcoin;Thai Baht
BTC/TRY;"[""BTCTurk"",""Paribu"",""Vebitcoin""]";Bitcoin;Turkish Lira
BTC/UAH;"[""Exmo""]";Bitcoin;Ukrainian Hryvnia
BTC/UGX;"[""Luno""]";Bitcoin;Ugandan Shilling
BTC/USD;"[""Binance"",""Bitfinex"",""BitStamp"",""Coinbase Pro"",""GDAX"",""itBit"",""Kraken"",""Poloniex""]";Bitcoin;US Dollar
BTC/USDT;"[""Exmo""]";Bitcoin;Tether
BTCV/BTC;"[""Coineal"",""MXC""]";Bitcoin Vault;Bitcoin
BTC/VND;"[""Synthetic""]";Bitcoin;Vietnamese Dong
BTCV/USD;"[""Coineal"",""MXC""]";Bitcoin Vault;US Dollar
BTC/XAU;"[""Synthetic""]";Bitcoin;Gold Spot
BTC/XRP;"[""CoinField""]";Bitcoin;XRP
BTC/ZAR;"[""Luno"",""Synthetic""]";Bitcoin;South African Rand
BTCZ/BTC;"[""BTC-Alpha""]";BitcoinZ;Bitcoin
BTC/ZMW;"[""Luno""]";Bitcoin;Zambia Kwacha
BTCZ/USD;"[""BTC-Alpha""]";BitcoinZ;US Dollar
BTDX/BTC;"[""Crex24""]";Bitcloud;Bitcoin
BTDX/USD;"[""Synthetic""]";Bitcloud;US Dollar
BTE/USD;"[""Synthetic""]";BitSerial;US Dollar
BTG/AUD;"[""Synthetic""]";Bitcoin Gold;Australian Dollar
BTG/BTC;"[""Binance"",""HitBTC"",""Huobi"",""p2pb2b""]";Bitcoin Gold;Bitcoin
BTG/CAD;"[""Synthetic""]";Bitcoin Gold;Canadian Dollar
BTG/CHF;"[""Bitci.com""]";Bitcoin Gold;Swiss Franc
BTG/CNY;"[""Synthetic""]";Bitcoin Gold;Chinese Yuan
BTG/ETH;"[""HitBTC""]";Bitcoin Gold;Ethereum
BTG/HKD;"[""Synthetic""]";Bitcoin Gold;Hong Kong Dollar
BTG/ILS;"[""Synthetic""]";Bitcoin Gold;Israeli Shekel
BTG/INR;"[""Synthetic""]";Bitcoin Gold;Indian Rupee
BTG/KRW;"[""Bithumb"",""Upbit""]";Bitcoin Gold;Korean Won
BTG/MXN;"[""Synthetic""]";Bitcoin Gold;Mexican Peso
BTG/MYR;"[""Synthetic""]";Bitcoin Gold;Malaysian Ringgit
BTG/PLN;"[""BitBay"",""Synthetic""]";Bitcoin Gold;Polish Zloty
BTG/RUB;"[""Synthetic""]";Bitcoin Gold;Russian Ruble
BTG/SAR;"[""Synthetic""]";Bitcoin Gold;Saudi Riyal
BTG/SEK;"[""Synthetic""]";Bitcoin Gold;Swedish Krona
BTG/TRY;"[""Bitci.com"",""Koineks"",""Synthetic""]";Bitcoin Gold;Turkish Lira
BTG/USD;"[""Bitfinex"",""Exmo"",""HitBTC"",""OKEx""]";Bitcoin Gold;US Dollar
BTG/VND;"[""Synthetic""]";Bitcoin Gold;Vietnamese Dong
BTG/ZAR;"[""Synthetic""]";Bitcoin Gold;South African Rand
BTK/USD;"[""Synthetic""]";Bitcoin Turbo Koin;US Dollar
BTMA/USD;"[""Synthetic""]";Bitmark;US Dollar
BTM/BTC;"[""Bibox"",""DragonEX"",""Huobi"",""OKEx""]";Bytom;Bitcoin
BTM/ETH;"[""Bibox"",""BitMart"",""CoinTiger"",""OKEx""]";Bytom;Ethereum
BTM/USD;"[""Bibox"",""Huobi"",""MXC"",""OKEx""]";Bytom;US Dollar
BTO/BTC;"[""Crex24""]";Bottos;Bitcoin
BTO/ETH;"[""COINEGG"",""Gate.io""]";Bottos;Ethereum
BTO/USD;"[""Gate.io""]";Bottos;US Dollar
BTPL/USD;"[""Synthetic""]";Bitcoin Planet;US Dollar
BTS/BTC;"[""Binance"",""COINEGG"",""Huobi""]";BitShares;Bitcoin
BTS/ETH;"[""CoinTiger"",""EXX"",""Huobi""]";BitShares;Ethereum
BTS/USD;"[""Binance"",""Gate.io"",""Huobi"",""Synthetic"",""ZB.COM""]";BitShares;US Dollar
BTTN/BNB;"[""Binance""]";BitTorrent;Binance Coin
BTTN/BRL;"[""NovaDAX""]";BitTorrent;Brazil Real
BTTN/BTC;"[""BitMax"",""CoinEx"",""Huobi"",""OKEx""]";BitTorrent;Bitcoin
BTTN/ETH;"[""Gate.io"",""Huobi"",""Kucoin"",""OKEx""]";BitTorrent;Ethereum
BTTN/EUR;"[""Binance""]";BitTorrent;Euro
BTTN/IDR;"[""Indodax""]";BitTorrent;Indonesian Rupiah
BTTN/INR;"[""Bitbns""]";BitTorrent;Indian Rupee
BTTN/KRW;"[""Bithumb"",""Upbit""]";BitTorrent;Korean Won
BTTN/TRX;"[""LATOKEN""]";BitTorrent;TRON
BTTN/TRY;"[""Binance"",""Koineks"",""Paribu""]";BitTorrent;Turkish Lira
BTTN/USD;"[""Binance"",""CoinTiger"",""Huobi"",""OKEx""]";BitTorrent;US Dollar
BTUp/BTC;"[""Bittrex"",""Upbit""]";BTU Protocol;Bitcoin
BTUp/USD;"[""Synthetic""]";BTU Protocol;US Dollar
BTW/USD;"[""Synthetic""]";BitWhite;US Dollar
BTX/BTC;"[""HitBTC""]";Bitcore;Bitcoin
BTX/USD;"[""HitBTC""]";Bitcore;US Dollar
BUB/BTC;"[""YoBit""]";Bubble;Bitcoin
BUB/USD;"[""Synthetic""]";Bubble;US Dollar
BUCKS/BTC;"[""YoBit""]";SwagBucks;Bitcoin
BUCKS/USD;"[""Synthetic""]";SwagBucks;US Dollar
BUL/BTC;"[""Crex24""]";Bulleon;Bitcoin
BUL/USD;"[""Synthetic""]";Bulleon;US Dollar
BUMBA/USD;"[""Synthetic""]";BumbaCoin;US Dollar
BURST/BTC;"[""Bittrex"",""Upbit""]";Burst;Bitcoin
BURST/USD;"[""Synthetic""]";Burst;US Dollar
BUSD/USD;"[""Binance""]";Binance USD;US Dollar
BU/USD;"[""Gate.io""]";BUMO;US Dollar
BUZZ/USD;"[""Synthetic""]";BuzzCoin;US Dollar
BVC/BTC;"[""YoBit""]";BeaverCoin;Bitcoin
BVC/USD;"[""Synthetic""]";BeaverCoin;US Dollar
BWK/BTC;"[""Crex24""]";Bulwark;Bitcoin
BWK/USD;"[""Synthetic""]";Bulwark;US Dollar
BXC/USD;"[""Synthetic""]";Bitcedi;US Dollar
BXT/BTC;"[""YoBit""]";BitTokens;Bitcoin
BXT/USD;"[""Synthetic""]";BitTokens;US Dollar
BYC/USD;"[""Synthetic""]";Bytecent;US Dollar
BZE/BTC;"[""Crex24""]";BZEdge;Bitcoin
BZE/USD;"[""Synthetic""]";BZEdge;US Dollar
BZNT/BNB;"[""Binance DEX""]";Bezant;Binance Coin
BZNT/BTC;"[""Hotbit""]";Bezant;Bitcoin
BZNT/ETH;"[""Hotbit""]";Bezant;Ethereum
BZNT/KRW;"[""Bithumb""]";Bezant;Korean Won
BZNT/USD;"[""Synthetic""]";Bezant;US Dollar
BZX/BTC;"[""Crex24""]";Bitcoin Zero;Bitcoin
BZX/USD;"[""Synthetic""]";Bitcoin Zero;US Dollar
C20/BTC;"[""HitBTC""]";CRYPTO20;Bitcoin
C20/ETH;"[""HitBTC""]";CRYPTO20;Ethereum
C20/USD;"[""Synthetic""]";CRYPTO20;US Dollar
C2/BTC;"[""YoBit""]";Coin2.1;Bitcoin
C2/USD;"[""Synthetic""]";Coin2.1;US Dollar
CAB/BTC;"[""YoBit""]";Cabbage;Bitcoin
CAB/USD;"[""Synthetic""]";Cabbage;US Dollar
CAG/BTC;"[""Kucoin""]";Change;Bitcoin
CAG/ETH;"[""Kucoin""]";Change;Ethereum
CAG/USD;"[""Synthetic""]";Change;US Dollar
CAKE/BNB;"[""Binance""]";PancakeSwap;Binance Coin
CAKE/BTC;"[""Binance""]";PancakeSwap;Bitcoin
CAKE/USD;"[""MXC""]";PancakeSwap;US Dollar
CALC/USD;"[""Synthetic""]";CaliphCoin;US Dollar
CAN/BNB;"[""Binance DEX""]";CanYaCoin;Binance Coin
CANN/BTC;"[""YoBit""]";CannabisCoin;Bitcoin
CANN/USD;"[""Synthetic""]";CannabisCoin;US Dollar
CAN/USD;"[""Synthetic""]";CanYaCoin;US Dollar
CAPP/BTC;"[""Kucoin""]";Cappasity;Bitcoin
CAPP/ETH;"[""Kucoin""]";Cappasity;Ethereum
CAPP/USD;"[""Synthetic""]";Cappasity;US Dollar
CARBON/USD;"[""YoBit""]";Carboncoin;US Dollar
CARD/BTC;"[""Hotbit""]";Cardstack;Bitcoin
CARD/ETH;"[""Hotbit"",""IDEX""]";Cardstack;Ethereum
CARD/USD;"[""Synthetic""]";Cardstack;US Dollar
CASH/USD;"[""Synthetic""]";Cashcoin;US Dollar
CAT/USD;"[""Synthetic""]";BlockCAT;US Dollar
CBC/BTC;"[""Coinsbit""]";CryptoBossCoin;Bitcoin
CBC/ETH;"[""Coinsbit""]";CryptoBossCoin;Ethereum
CBC/USD;"[""Coinsbit""]";CryptoBossCoin;US Dollar
CBD/USD;"[""Synthetic""]";CBD Crystals;US Dollar
CBT/BTC;"[""Mercatox""]";CommerceBlock;Bitcoin
CBT/USD;"[""Synthetic""]";CommerceBlock;US Dollar
CBX/BTC;"[""YoBit""]";Crypto Bullion;Bitcoin
CBXN/BTC;"[""Crex24""]";Bullion;Bitcoin
CBXN/USD;"[""Synthetic""]";Bullion;US Dollar
CBX/USD;"[""Synthetic""]";Crypto Bullion;US Dollar
CCO/ETH;"[""Mercatox""]";Ccore;Ethereum
CCO/USD;"[""Synthetic""]";Ccore;US Dollar
CCRB/BTC;"[""BTC-Alpha""]";CryptoCarbon;Bitcoin
CCRB/USD;"[""Synthetic""]";CryptoCarbon;US Dollar
CCT/BTC;"[""YoBit""]";Crystal Clear;Bitcoin
CCT/USD;"[""Synthetic""]";Crystal Clear;US Dollar
CDM/USD;"[""Synthetic""]";Condominium;US Dollar
CDN/BTC;"[""Trade Satoshi""]";Canada eCoin;Bitcoin
CDN/USD;"[""Synthetic""]";Canada eCoin;US Dollar
CDT/BTC;"[""Binance"",""HitBTC""]";CoinDash;Bitcoin
CDT/ETH;"[""Binance"",""Gate.io"",""HitBTC""]";CoinDash;Ethereum
CDT/USD;"[""Gate.io""]";CoinDash;US Dollar
CDX/BTC;"[""Livecoin""]";CDX Network;Bitcoin
CDX/USD;"[""Synthetic""]";CDX Network;US Dollar
CEEK/ETH;"[""IDEX""]";CEEK VR;Ethereum
CEEK/USD;"[""Synthetic""]";CEEK VR;US Dollar
CEL/ETH;"[""IDEX"",""Liquid""]";Celsius;Ethereum
CELO/USD;"[""Binance""]";Celo;US Dollar
CELR/BNB;"[""Binance""]";Celer Network;Binance Coin
CELR/BTC;"[""Binance""]";Celer Network;Bitcoin
CELR/USD;"[""Binance"",""BitMax"",""Gate.io"",""Hotbit""]";Celer Network;US Dollar
CEL/USD;"[""Synthetic""]";Celsius;US Dollar
CENNZ/BTC;"[""HitBTC""]";Centrality;Bitcoin
CENNZ/ETH;"[""HitBTC""]";Centrality;Ethereum
CENNZ/USD;"[""Synthetic""]";Centrality;US Dollar
CET/BCH;"[""CoinEx""]";CoinEx Token;Bitcoin Cash
CET/BTC;"[""CoinEx""]";CoinEx Token;Bitcoin
CET/ETH;"[""CoinEx""]";CoinEx Token;Ethereum
CET/USD;"[""CoinEx""]";CoinEx Token;US Dollar
CF/BTC;"[""YoBit""]";Californium;Bitcoin
CFC/USD;"[""Synthetic""]";CoffeeCoin;US Dollar
CFD/USD;"[""Synthetic""]";Confido;US Dollar
CF/USD;"[""Synthetic""]";Californium;US Dollar
CGLD/BTC;"[""Coinbase Pro""]";Celo;Bitcoin
CGLD/USD;"[""Coinbase Pro""]";Celo;US Dollar
CHAT/BTC;"[""Huobi""]";ChatCoin;Bitcoin
CHAT/ETH;"[""Huobi""]";ChatCoin;Ethereum
CHAT/USD;"[""ZB.COM""]";ChatCoin;US Dollar
CHC/USD;"[""Synthetic""]";ChainCoin;US Dollar
CHEAP/USD;"[""Synthetic""]";Cheapcoin;US Dollar
CHESS/BTC;"[""YoBit""]";ChessCoin;Bitcoin
CHESS/USD;"[""Synthetic""]";ChessCoin;US Dollar
CHSB/BTC;"[""HitBTC""]";SwissBorg;Bitcoin
CHSB/ETH;"[""HitBTC""]";SwissBorg;Ethereum
CHSB/USD;"[""Synthetic""]";SwissBorg;US Dollar
CHZ/BRL;"[""MercadoBitcoin""]";Chiliz;Brazil Real
CHZ/BTC;"[""Binance"",""BitMax""]";Chiliz;Bitcoin
CHZ/EUR;"[""Binance""]";Chiliz;Euro
CHZ/TRY;"[""Binance"",""Paribu""]";Chiliz;Turkish Lira
CHZ/USD;"[""Binance"",""BitMax""]";Chiliz;US Dollar
CIX100/USD;"[""Kucoin""]";Cryptoindex.com 100;US Dollar
CJ/USD;"[""Synthetic""]";Cryptojacks;US Dollar
CLAM/BTC;"[""YoBit""]";Clams;Bitcoin
CLAM/USD;"[""Synthetic""]";Clams;US Dollar
CLOAK/BTC;"[""YoBit""]";CloakCoin;Bitcoin
CLOAK/USD;"[""Synthetic""]";CloakCoin;US Dollar
CLO/BTC;"[""HitBTC""]";Callisto Network;Bitcoin
CLO/ETH;"[""HitBTC""]";Callisto Network;Ethereum
CLO/USD;"[""Bitfinex"",""HitBTC""]";Callisto Network;US Dollar
CLUB/BTC;"[""YoBit""]";ClubCoin;Bitcoin
CLUB/USD;"[""Synthetic""]";ClubCoin;US Dollar
CMCT/BTC;"[""Bittrex"",""HitBTC"",""Upbit""]";Crowd Machine;Bitcoin
CMCT/ETH;"[""HitBTC""]";Crowd Machine;Ethereum
CMCT/USD;"[""HitBTC""]";Crowd Machine;US Dollar
CME/USD;"[""Synthetic""]";Cashme;US Dollar
CMPCO/USD;"[""Synthetic""]";CampusCoin;US Dollar
CMS/BTC;"[""YoBit""]";COMSA [ETH];Bitcoin
CMS/USD;"[""Synthetic""]";COMSA [ETH];US Dollar
CMTA/BTC;"[""YoBit""]";Comet;Bitcoin
CMTA/USD;"[""Synthetic""]";Comet;US Dollar
CMT/BTC;"[""Binance"",""Huobi""]";CyberMiles;Bitcoin
CMT/ETH;"[""Bibox"",""Binance"",""Coinbene"",""Huobi""]";CyberMiles;Ethereum
CMT/USD;"[""Coinbene"",""Synthetic""]";CyberMiles;US Dollar
CND/BTC;"[""Binance"",""HitBTC""]";Cindicator;Bitcoin
CND/ETH;"[""HitBTC""]";Cindicator;Ethereum
CND/USD;"[""HitBTC""]";Cindicator;US Dollar
CNNC/BTC;"[""YoBit""]";Cannation;Bitcoin
CNNC/USD;"[""Synthetic""]";Cannation;US Dollar
CNN/USD;"[""Coinbene""]";Content Neutrality...;US Dollar
CNO/USD;"[""Synthetic""]";Coin(O);US Dollar
CNT/BTC;"[""YoBit""]";Centurion;Bitcoin
CNT/USD;"[""Synthetic""]";Centurion;US Dollar
CNX/USD;"[""Cryptonex""]";Cryptonex;US Dollar
COAL/USD;"[""Synthetic""]";BitCoal;US Dollar
COB/BTC;"[""Mercatox""]";Cobinhood;Bitcoin
COB/USD;"[""Synthetic""]";Cobinhood;US Dollar
COCOS/USD;"[""Binance""]";Cocos-BCX;US Dollar
COFI/BTC;"[""Kucoin""]";CoinFi;Bitcoin
COFI/ETH;"[""Gate.io""]";CoinFi;Ethereum
COFI/USD;"[""Gate.io""]";CoinFi;US Dollar
COLX/BTC;"[""Crex24""]";ColossusXT;Bitcoin
COLX/USD;"[""Synthetic""]";ColossusCoinXT;US Dollar
COMP/BTC;"[""Binance"",""Coinbase Pro"",""OKEx""]";Compound;Bitcoin
COMP/USD;"[""Binance"",""Coinbase Pro"",""OKEx""]";Compound;US Dollar
CON/BTC;"[""YoBit""]";PayCon;Bitcoin
CON/USD;"[""Synthetic""]";PayCon;US Dollar
CONX/BTC;"[""YoBit""]";Concoin;Bitcoin
CONX/USD;"[""Synthetic""]";Concoin;US Dollar
CORG/USD;"[""Synthetic""]";CorgiCoin;US Dollar
COR/USD;"[""Synthetic""]";CORION;US Dollar
COS/ETH;"[""COSS""]";COS;Ethereum
COSM/KRW;"[""Upbit""]";Cosmo Coin;Korean Won
COSM/USD;"[""Synthetic""]";Cosmo Coin;US Dollar
COS/USD;"[""Synthetic""]";COS;US Dollar
COT/BNT;"[""Bancor Network""]";CoTrader;Bancor
COT/ETH;"[""Bancor Network"",""EtherFlyer"",""Hotbit""]";CoTrader;Ethereum
COTI/BTC;"[""Binance"",""Kucoin""]";COTI;Bitcoin
COTI/USD;"[""Binance"",""BitMax"",""Kucoin""]";COTI;US Dollar
COT/USD;"[""Synthetic""]";CoTrader;US Dollar
COUPE/USD;"[""Synthetic""]";Coupecoin;US Dollar
COVAL/USD;"[""Synthetic""]";Circuits of Value;US Dollar
COV/BTC;"[""HitBTC"",""Kucoin""]";Covesting;Bitcoin
COV/ETH;"[""HitBTC"",""Kucoin""]";Covesting;Ethereum
COV/USD;"[""Synthetic""]";Covesting;US Dollar
CPC/BTC;"[""YoBit""]";Capricoin;Bitcoin
CPC/ETH;"[""Livecoin""]";Capricoin;Ethereum
CPCH/BTC;"[""Bibox""]";CPChain;Bitcoin
CPCH/ETH;"[""Bibox""]";CPChain;Ethereum
CPCH/USD;"[""Synthetic""]";CPChain;US Dollar
CPC/USD;"[""Livecoin""]";Capricoin;US Dollar
CRAVE/BTC;"[""YoBit""]";Crave;Bitcoin
CRAVE/USD;"[""Synthetic""]";Crave;US Dollar
CRBIT/BTC;"[""Livecoin""]";Creditbit;Bitcoin
CRB/USD;"[""Synthetic""]";Creditbit;US Dollar
CRCA/BTC;"[""YoBit""]";CryCash;Bitcoin
CRCA/DOGE;"[""YoBit""]";CryCash;Dogecoin
CRCA/ETH;"[""YoBit""]";CryCash;Ethereum
CRCA/RUB;"[""YoBit""]";CryCash;Russian Ruble
CRCA/USD;"[""YoBit""]";CryCash;US Dollar
CRCA/WAVES;"[""YoBit""]";CryCash;Waves
CRDNC/USD;"[""Synthetic""]";Credence Coin;US Dollar
CRED/BTC;"[""YoBit""]";Verify;Bitcoin
CREDO/USD;"[""Synthetic""]";Credo;US Dollar
CRED/USD;"[""Synthetic""]";Verify;US Dollar
CREVA/USD;"[""Synthetic""]";CrevaCoin;US Dollar
CRM/BTC;"[""Graviex""]";Cream;Bitcoin
CRM/USD;"[""Synthetic""]";Cream;US Dollar
CRO/BTC;"[""Bittrex"",""CoinTiger"",""HitBTC"",""Huobi""]";Crypto.com Coin;Bitcoin
CRO/IDR;"[""Indodax""]";Crypto.com Coin;Indonesian Rupiah
CRO/KRW;"[""GOPAX""]";Crypto.com Chain;Korean Won
CRO/USD;"[""Synthetic""]";Crypto.com Chain;US Dollar
CRO/USD;"[""HitBTC"",""Huobi"",""OKEx""]";Crypto.com Coin;US Dollar
CRPT/BTC;"[""HitBTC"",""Kucoin"",""Liquid""]";Crypterium;Bitcoin
CRPT/ETH;"[""Kucoin"",""Liquid""]";Crypterium;Ethereum
CRPT/USD;"[""HitBTC"",""Synthetic""]";Crypterium;US Dollar
CRTM/USD;"[""Synthetic""]";Corethum;US Dollar
CRV/BTC;"[""Binance""]";Curve DAO Token;Bitcoin
CRV/EUR;"[""Coinbase Pro""]";Curve DAO Token;Euro
CRV/USD;"[""Binance"",""Huobi""]";Curve DAO Token;US Dollar
CRW/BTC;"[""Bittrex"",""YoBit""]";Crown;Bitcoin
CRW/USD;"[""Synthetic""]";Crown;US Dollar
CRX/USD;"[""Synthetic""]";Chronos;US Dollar
CS/BTC;"[""Kucoin""]";Credits;Bitcoin
CSC/USD;"[""Synthetic""]";CasinoCoin;US Dollar
