symbol;available_exchanges;currency_base;currency_quote
AGI/ETH;"[""Kucoin""]";SingularityNET;Ethereum
AGI/USD;"[""Ethfinex"",""Synthetic""]";SingularityNET;US Dollar
AGRS/USD;"[""Synthetic""]";Agoras Tokens;US Dollar
AGVC/BTC;"[""SouthXchange""]";AgaveCoin;Bitcoin
AGVC/USD;"[""Synthetic""]";AgaveCoin;US Dollar
AIB/USD;"[""Synthetic""]";Advanced Internet...;US Dollar
AIDOC/BTC;"[""Bit-Z"",""Coinbene"",""Huobi""]";AI Doctor;Bitcoin
AIDOC/ETH;"[""Bit-Z"",""Huobi""]";AI Doctor;Ethereum
AIDOC/USD;"[""Synthetic""]";AI Doctor;US Dollar
AION/BTC;"[""Binance"",""Bitrue"",""DragonEX"",""Kucoin""]";Aion;Bitcoin
AION/ETH;"[""Binance"",""Kucoin"",""LATOKEN""]";Aion;Ethereum
AION/USD;"[""Binance"",""Synthetic""]";Aion;US Dollar
AIR/USD;"[""Synthetic""]";AirToken;US Dollar
AI/USD;"[""Synthetic""]";POLY AI;US Dollar
AIX/BNT;"[""Bancor Network""]";Aigang;Bancor
AIX/USD;"[""Synthetic""]";Aigang;US Dollar
AKY/USD;"[""Synthetic""]";Akuya Coin;US Dollar
ALGO/BTC;"[""Bibox"",""Binance"",""Hotbit""]";Algorand;Bitcoin
ALGO/ETH;"[""Bibox""]";Algorand;Ethereum
ALGO/TRY;"[""Vebitcoin""]";Algorand;Turkish Lira
ALGO/USD;"[""Bibox"",""Binance"",""Bit-Z"",""Hotbit""]";Algorand;US Dollar
ALIS/USD;"[""Synthetic""]";ALIS;US Dollar
ALQO/USD;"[""Synthetic""]";ALQO;US Dollar
ALTCOM/BTC;"[""YoBit""]";AltCommunity Coin;Bitcoin
ALTCOM/USD;"[""Synthetic""]";AltCommunity Coin;US Dollar
ALTC/USD;"[""Synthetic""]";Antilitecoin;US Dollar
AMB/BTC;"[""Binance"",""HitBTC"",""Kucoin"",""Mercatox""]";Ambrosus;Bitcoin
AMBER/USD;"[""Synthetic""]";AmberCoin;US Dollar
AMB/ETH;"[""HitBTC"",""Kucoin""]";Ambrosus;Ethereum
AMB/USD;"[""HitBTC"",""Synthetic""]";Ambrosus;US Dollar
AMM/BTC;"[""Mercatox""]";MicroMoney;Bitcoin
